fixNum_f,numSaccs_f,trialNum_f,rawTrialNum_f,rewardedSacc_f,saccPeakVel_f,expectedPeakVel_f,t_fix_f,t_sacc_f,x_targ_f,y_targ_f,x_dist_f,y_dist_f,x_curFix_f,y_curFix_f
2,13,1442,3296,0,389.695587158203,379.21728515625,20872282,20872514,8.75517050014114,-2.97950828538835,-20.5815264636826,-8.84684767815309,-6.54130744934082,-4.64515781402588
3,13,1442,3296,0,174.317291259766,175.570938110352,20872585,20872867,8.75517050014114,-2.97950828538835,-20.5815264636826,-8.84684767815309,-16.5183982849121,-7.19427537918091
4,13,1442,3296,0,601.421447753906,715.14794921875,20872925,20873732,8.75517050014114,-2.97950828538835,-20.5815264636826,-8.84684767815309,-20.8421268463135,-5.73579072952271
5,13,1442,3296,0,374.026794433594,375.327209472656,20873836,20874100,8.75517050014114,-2.97950828538835,-20.5815264636826,-8.84684767815309,-0.0722585096955299,0.420653074979782
6,13,1442,3296,0,675.006225585938,629.895568847656,20874171,20874557,8.75517050014114,-2.97950828538835,-20.5815264636826,-8.84684767815309,9.96475315093994,-1.10183870792389
7,13,1442,3296,0,290.415954589844,280.937377929688,20874637,20875467,8.75517050014114,-2.97950828538835,-20.5815264636826,-8.84684767815309,-8.35841751098633,2.14034986495972
8,13,1442,3296,0,145.841232299805,155.189300537109,20875532,20875975,8.75517050014114,-2.97950828538835,-20.5815264636826,-8.84684767815309,-8.58894634246826,9.20101070404053
9,13,1442,3296,0,392.4462890625,371.712921142578,20876031,20876410,8.75517050014114,-2.97950828538835,-20.5815264636826,-8.84684767815309,-10.340859413147,5.56875038146973
10,13,1442,3296,0,371.552886962891,379.5546875,20876479,20876712,8.75517050014114,-2.97950828538835,-20.5815264636826,-8.84684767815309,-8.82576370239258,-3.64214253425598
11,13,1442,3296,0,132.596130371094,156.045791625977,20876780,20877221,8.75517050014114,-2.97950828538835,-20.5815264636826,-8.84684767815309,-17.6665172576904,-8.12093639373779
12,13,1442,3296,0,209.704010009766,263.043762207031,20877283,20878064,8.75517050014114,-2.97950828538835,-20.5815264636826,-8.84684767815309,-20.8350048065186,-5.75386476516724
13,13,1442,3296,0,140.546691894531,132.18132019043,20878143,20878232,8.75517050014114,-2.97950828538835,-20.5815264636826,-8.84684767815309,-16.6253299713135,-11.9758176803589
1,5,1443,3297,0,638.936889648438,621.714111328125,20883682,20884013,14.6225098929059,-2.97950828538835,-14.6225098929059,-2.8878311073764,1.05101907253265,-1.45141732692719
2,5,1443,3297,0,101.605728149414,103.631904602051,20884764,20884859,14.6225098929059,-2.97950828538835,-14.6225098929059,-2.8878311073764,-11.6651802062988,-2.33969950675964
3,5,1443,3297,0,179.045486450195,169.656158447266,20884904,20885226,14.6225098929059,-2.97950828538835,-14.6225098929059,-2.8878311073764,-13.9153890609741,-2.1041419506073
4,5,1443,3297,0,467.589416503906,649.1884765625,20885543,20885888,14.6225098929059,-2.97950828538835,-14.6225098929059,-2.8878311073764,-18.6088886260986,-1.46295344829559
5,5,1443,3297,0,84.3524017333984,75.9502487182617,20885987,20886293,14.6225098929059,-2.97950828538835,-14.6225098929059,-2.8878311073764,0.826221644878387,1.21857976913452
1,3,1444,3302,1,528.529907226563,555.78173828125,20905682,20905857,2.8878311073764,14.6225098929059,-14.7141870709178,-2.97950828538835,-1.16127073764801,0.636380851268768
2,3,1444,3302,0,775.006958007813,972.016845703125,20906018,20906696,2.8878311073764,14.6225098929059,-14.7141870709178,-2.97950828538835,3.68996262550354,16.3728504180908
3,3,1444,3302,0,463.803741455078,473.490997314453,20906810,20907188,2.8878311073764,14.6225098929059,-14.7141870709178,-2.97950828538835,-6.49373483657837,-12.9430322647095
1,3,1445,3303,0,386.063018798828,377.057189941406,20912225,20912435,-2.97950828538835,8.75517050014114,14.6225098929059,-14.7141870709178,-0.290952324867249,0.42460310459137
2,3,1445,3303,1,116.11060333252,119.535972595215,20912600,20912738,-2.97950828538835,8.75517050014114,14.6225098929059,-14.7141870709178,-6.41963005065918,8.55086231231689
